text,label
PM 18D Mantencion Programada PM,PM18D
NEUMATICO 4-6 PAREO Neumaticos y Aros Neumaticos,PM-CHEQUEO
ALTA TEMP REFRIGERANT Motor Sistema de Enfriamiento,ALTA TEMPERATURA
ALTAS TEMP. REFRIG CO Motor Sistema de Enfriamiento,ALTA TEMPERATURA
 Motor Sistema de Enfriamiento,ALTA TEMPERATURA
ALTA TEMP REFRIG. Motor Sistema de Enfriamiento,ALTA TEMPERATURA
alta temp. convertido Tren de Potencia Convertidor de Torque ,ALTA TEMPERATURA
QUEBRO ESPEJO IZQUIERDO Estructura Cabina y Plataforma,ROTURA
SOLTO PROTECCIN DE CARTER Estructura Estructura y Chasis,FALLA ESTRUCTURAL
PM 36D + BACKLOGS Mantencion Programada PM,PM36D
ALTA TEMPERATURA DIRECCION Sistema Direccion y Frenos Sistema Direccion,SOBRE NIVEL
ALTA TEMPERATURA REFRIGERANTE Motor Sistema de Enfriamiento,SOBRE NIVEL
ALTA TEMPERATURA DIRECCION Motor Sistema de Enfriamiento,SOBRE NIVEL
PROBL PUERTA Estructura Cabina y Plataforma,FALLA FUNCIONAL
TEMP MOTOR Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,ALTA TEMPERATURA
MULT ALARMAS Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,ALARMA
 Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,ALARMA
TEMP CONVERTIDOR Tren de Potencia Convertidor de Torque,ALTA TEMPERATURA
 Tren de Potencia Convertidor de Torque,ALTA TEMPERATURA
SELLADO CABINA Estructura Cabina y Plataforma,FALLA DE HERMETICIDAD
PROBLE LEVANTE Sistema Hidraulico Sistema Levante,ROTURA
REPAR PALANC LEVANTE Sistema Hidraulico Sistema Levante,ROTURA
PROBL LEVANTE TOLVA Sistema Hidraulico Sistema Levante,CHEQUEO
REAPRETE ESP. IZQ. Estructura Cabina y Plataforma,SOLTURA
PM Mantencion Programada PM,PM18D
mc motor Motor Sistema de Admision y Escape ,CHEQUEO
INPREVISTO Motor Sistema de Admision y Escape,CHEQUEO
SIN PARTIDA Sistema Neumatico Sistema Neumatico,BAJA PRESION
APOYO AIRE PARTIDA Sistema Neumatico Sistema Neumatico,BAJA PRESION
REPAR TK COMBUST Motor Sistema de Combustible,FUGA
PROBL. MARCHAS Tren de Potencia Transmision,FALLA CONEXION/AISLAMIENTO
PROBL ELECTRICO ,CODIGO ACTIVO
PROBL TRANS Tren de Potencia Transmision,FALLA CONEXION/AISLAMIENTO
pm 18d+backlog ,PM18D
pm 18d+backlog Mantencion Programada PM ,PM18D
ESPEJO RETROVISOR SUELTO Estructura Cabina y Plataforma,FUERA DE AJUSTE
NEUMATICO 1-2 ROTACION Neumaticos y Aros Neumaticos,PM-ROTACION
pinchado pos 3 Neumaticos y Aros Neumaticos ,PINCHADO
proteccion de motor Estructura Estructura y Chasis ,FALLA ESTRUCTURAL
cambio pos-4 Neumaticos y Aros Neumaticos ,PM-NORMALIZAR
 Neumaticos y Aros Neumaticos ,PM-NORMALIZAR
regulacion esp. izq. Estructura Cabina y Plataforma ,FUERA DE AJUSTE
pm Mantencion Programada PM ,PM18D
 Mantencion Programada PM ,PM18D
sin partida Instr. Electricos y Comp. Control Arranque y Carga ,BAJA PRESION
bba. freno Sistema Direccion y Frenos Sistema Frenos ,FALLA BOMBA
codigo de bb.freno Sistema Direccion y Frenos Sistema Frenos ,FALLA BOMBA
reposicion extintor Sistema Contra Incendios Sistema Contra Incendios ,FALLA COMPONENTE
cheq. neumaticos Neumaticos y Aros Neumaticos ,CHEQUEO
sin partida ,SIN PARTIDA
pm 18d + backlog Mantencion Programada PM ,PM18D
se detenie motor dies ,BAJA PRESION
baja pres.lub.ac.dife Tren de Potencia Eje Palier y Diferencial ,BAJA PRESION
 Tren de Potencia Eje Palier y Diferencial ,BAJA PRESION
relleno aceite direccion Sistema Direccion y Frenos Sistema Direccion ,BAJO NIVEL
rell ac direccion Sistema Direccion y Frenos Sistema Direccion ,BAJO NIVEL
rell.ac direccion Sistema Direccion y Frenos Sistema Direccion ,BAJO NIVEL
relleno aceite transmision Tren de Potencia Transmision ,ROTURA
fuga de diferencial Tren de Potencia Eje Palier y Diferencial ,ROTURA
fuga de diferencial ,ROTURA
palanca cambios suelta Instr. Electricos y Comp. Control Sistema de Control de Movimiento,SOLTURA
solto manga del turbo Motor Sistema de Admision y Escape,SOLTURA
aire para la partida Motor Sistema Partida Electrico,BAJO NIVEL
no entra combustible Motor Sistema de Combustible,FALLA VALVULA
no carga combustible Motor Sistema de Combustible,FALLA VALVULA
sist. voltaje bajo Instr. Electricos y Comp. Control Arranque y Carga,CORTE CORREA
rep. aire acondicionado Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
rep luz trocha Instr. Electricos y Comp. Control Luces,FALLA SWITCH
falla sistema a/c Aire Acondicionado Aire Acondicionado,FALLA COMPONENTE
*temperatura pos-1 Neumaticos y Aros Neumaticos,ALTA TEMPERATURA
#neumatico pos 1 chequeo Neumaticos y Aros Neumaticos,CHEQUEO
rell.ac.transmision Tren de Potencia Transmision,BAJO NIVEL
cambio plumillas Estructura Cabina y Plataforma,DESGASTE
fuga hid conv Tren de Potencia Convertidor de Torque,FUGA
fuga ac. convertidor Tren de Potencia Convertidor de Torque,FUGA
bajo nivel conv Tren de Potencia Convertidor de Torque,BAJO NIVEL
Tren de Potencia Convertidor de Torque,TRASPASO
cambio enfr. transmision Tren de Potencia Convertidor de Torque,TRASPASO
falla sensor t° de t.c. Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,FALLA SENSOR
moncon Motor Sistema de Lubricacion,CHEQUEO
p.m Mantencion Programada PM,PM-NORMALIZAR
pinchado pos. 1 Neumaticos y Aros Neumaticos,PINCHADO
sid cond. partida Sistema Neumatico Sistema Neumatico,FUGA
programa neumaticos Neumaticos y Aros Neumaticos,PM-CHEQUEO
arc Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
alta t° de frenos Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
cambio filtro freno Sistema Direccion y Frenos Sistema Frenos,FILTRO SATURADO
baja p° bba freno Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
rep a/c Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
pm 600h Mantencion Programada PM,PM 600 HRS
problema marchas Tren de Potencia Transmision,FUERA DE AJUSTE
cheq neumaticos Neumaticos y Aros Neumaticos,CHEQUEO
cheq. neumaticos Neumaticos y Aros Neumaticos,CHEQUEO
alta temp frenos Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
relleno aceite transmision Tren de Potencia Transmision,BAJO NIVEL
baja presion de freno Sistema Direccion y Frenos Sistema Frenos,CHEQUEO
relleno aceite direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
alta t° freno Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
rell direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
no cierra puerta Estructura Cabina y Plataforma,TRABADO
cheq p 4 Neumaticos y Aros Neumaticos,CHEQUEO
relleno transmision Tren de Potencia Transmision,BAJO NIVEL
aire acondicionado Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
relleno aceite transmision Tren de Potencia Convertidor de Torque,BAJO NIVEL
cambio enfriador ac. t.c. Tren de Potencia Convertidor de Torque,DESGASTE
probl alarmas Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,CONTAMINADO
rell refrig Motor Sistema de Enfriamiento,BAJO NIVEL
rotacion neumaticos Neumaticos y Aros Neumaticos,PM-ROTACION
fuga de refrigerante Motor Sistema de Enfriamiento,FUGA
pm cambio ac. transmision Mantencion Programada PM,PM-CAMBIO
Mantencion Programada PM,PM-ROTACION
mantencion neumatico Neumaticos y Aros Neumaticos,PM-ROTACION
retorque Neumaticos y Aros Neumaticos,RETORQUE
alta temp escape Motor Sistema de Admision y Escape,FALLA SENSOR
Motor Sistema de Admision y Escape,FALLA SENSOR
fuga petroleo x tk Estructura Estructura y Chasis,FUGA
fuga petroleo Estructura Estructura y Chasis,FUGA
temp. frenos Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
Motor Sistema de Combustible,DESCARGADO
baj presion combustible Motor Sistema de Combustible,DESCARGADO
corte pos 5 Neumaticos y Aros Neumaticos,CORTE
fuga combustible Motor Sistema de Combustible,FUGA
baja presion acum. freno Sistema Direccion y Frenos Sistema Frenos,CONTAMINADO
rell.ac.transmision Tren de Potencia Convertidor de Torque,FALLA SENSOR DE NIVEL
reponer numeros traseros Estructura Estructura y Chasis,COMPONENTE FALTATE
rep.aire acondicionado Aire Acondicionado Aire Acondicionado,PM-NORMALIZAR
retorque neumaticos Neumaticos y Aros Neumaticos,RETORQUE
alta t° de freno Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,ALARMA
relleno de refrigerante Motor Sistema de Enfriamiento,BAJO NIVEL
rell conv Tren de Potencia Convertidor de Torque,BAJO NIVEL
rell convertidor Tren de Potencia Convertidor de Torque,BAJO NIVEL
fuga hidraulica Sistema Hidraulico Componentes Hidraulicos,FUGA
pinch. pos 5 Neumaticos y Aros Neumaticos,PINCHADO
neumatico pos 3 pinchado Neumaticos y Aros Neumaticos,PINCHADO
fuga por v/v chassis Sistema Hidraulico Componentes Hidraulicos,FUGA
aacc Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
relleno de hd Sistema Hidraulico Componentes Hidraulicos,BAJO NIVEL
fuga ac. hidraulico Sistema Hidraulico Componentes Hidraulicos,FUGA
rell.refrigerante Motor Sistema de Enfriamiento,BAJO NIVEL
temp freno Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
smartcap Innovaciones Tecnologicas Innovaciones Tecnologicas,SMARTCAP
aire partida Sistema Neumatico Sistema Neumatico,BAJA PRESION
sin bocina Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,FALLA CONEXION/AISLAMIENTO
m. aceite moncon Motor Sistema de Lubricacion,BK-MONCON
toma muestras aceite motor Mantencion Programada PM,PM-CHEQUEO
relleno refrigerante motor Motor Sistema de Enfriamiento,BAJO NIVEL
neumatico 3 pinchado Neumaticos y Aros Neumaticos,PINCHADO
relleno refrigerante Motor Sistema de Enfriamiento,BAJO NIVEL
retorque pos 3 neum Neumaticos y Aros Neumaticos,PM-NORMALIZAR
fuga hca.,FUGA
reg espejo izq Estructura Cabina y Plataforma,FUERA DE AJUSTE
cheq. pos-2 Neumaticos y Aros Neumaticos,CHEQUEO
baja potencia Motor Sistema de Combustible,FUGA
detuvo diesel Motor Sistema de Combustible,FUGA
fuga hid Sistema Hidraulico Componentes Hidraulicos,FUGA
baja presion de riel combusti Motor Sistema de Combustible,FALLA BOMBA
rell hid Sistema Hidraulico Sistema Levante,BAJO NIVEL
rep. aire acondicionaod Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
falla cinturon de seguridad Estructura Cabina y Plataforma,FALLA CINTURON DE SEGURIDAD
manguera soplado Sistema Neumatico Sistema Neumatico,FUGA
neumatico 3 chequeo Neumaticos y Aros Neumaticos,CHEQUEO
neumatico pos 3 cambio Neumaticos y Aros Neumaticos,ROTACION
neumatico 1 retorque Neumaticos y Aros Neumaticos,RETORQUE
sin partida motor Sistema Neumatico Sistema Neumatico,FUGA
cheq bocina Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,FALLA CONEXION/AISLAMIENTO
aire para partida motor Sistema Neumatico Sistema Neumatico,BAJO NIVEL
sallado cabina Aire Acondicionado Aire Acondicionado,FALLA DE HERMETICIDAD
aire partida motor Sistema Neumatico Sistema Neumatico,SIN PARTIDA
calibracion transm Tren de Potencia Transmision,PM-NORMALIZAR
pincho p3 Neumaticos y Aros Neumaticos,PINCHADO
aire para la partida Sistema Auxiliar Sistema Neumatico,SIN PARTIDA
falla correa alternador Instr. Electricos y Comp. Control Arranque y Carga,BAJO VOLTAJE
neumatico 1 rotacion Neumaticos y Aros Neumaticos,PM-ROTACION
bomba freno no responde Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
instalacion botapiedra Mantencion Programada PM,PM-NORMALIZAR
ch. neumaticos Neumaticos y Aros Neumaticos,CHEQUEO
neumatico 5 cambio Neumaticos y Aros Neumaticos,DESGASTE
reapriete pos 3 Neumaticos y Aros Neumaticos,RETORQUE
plataforma fisurada Estructura Cabina y Plataforma,FALLA ESTRUCTURAL
traspaso hidraulico Tren de Potencia Eje Palier y Diferencial,DESCARGADO
fuga hca. Sistema Hidraulico Componentes Hidraulicos,SOBRE NIVEL
baja pres. ac. eje trasero Tren de Potencia Eje Palier y Diferencial,BAJO NIVEL
Sistema Hidraulico Componentes Hidraulicos,TRASPASO
postura de cadenas Neumaticos y Aros Neumaticos,PM-NORMALIZAR
postura cadenas Neumaticos y Aros Neumaticos,PM-NORMALIZAR
desm botapiedras Tolva Tolva,FALLA FUNCIONAL
neumatico 4-5 desmontaje cade Neumaticos y Aros Neumaticos,
neumatico 4 retiro cadenas Neumaticos y Aros Neumaticos,FUERA DE AJUSTE
neumatico 4-5 retiro cadenas Neumaticos y Aros Neumaticos,FUERA DE AJUSTE
bailac cadena Neumaticos y Aros Neumaticos,FUERA DE AJUSTE
cheq.neumaticos Neumaticos y Aros Neumaticos,CHEQUEO
aire para la partida Instr. Electricos y Comp. Control Arranque y Carga,SIN PARTIDA
aire para la partida Motor Sistema de Enfriamiento,BAJA PRESION
fuga hid direccion Sistema Direccion y Frenos Sistema Direccion,FUGA
alarma bajo niv conv Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,BAJO NIVEL
aire acondic] Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
relleno aceite Tren de Potencia Transmision,FALLA SENSOR DE NIVEL
toma muestra Motor Sistema de Lubricacion,CHEQUEO
cambio filtro cabina Aire Acondicionado Aire Acondicionado,FILTRO SATURADO
rep. sellado cabina Aire Acondicionado Aire Acondicionado,FALLA DE HERMETICIDAD
calefacc Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
prog neumaticos Neumaticos y Aros Neumaticos,PM-NORMALIZAR
fuga combustible por deposito Motor Sistema de Combustible,FUGA
relleno nitrogeno Neumaticos y Aros Relleno,BAJA PRESION
sin aire partida Sistema Neumatico Sistema Neumatico,TRABADO
Neumaticos y Aros Relleno,CHEQUEO
parkeo aoplicado Sistema Direccion y Frenos Sistema Frenos,FALLA SWITCH
rep. switch traba transm. Instr. Electricos y Comp. Control Sistema de Control de Movimiento,FALLA SWITCH
rell.ac.hidraulico Sistema Hidraulico Sistema Levante,FUGA
sin aire acondicionado Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
instalar manguera de soplado Sistema Neumatico Sistema Neumatico,FUGA
rep barandas Estructura Estructura y Chasis,FALLA ESTRUCTURAL
fuga direccion Sistema Direccion y Frenos Sistema Direccion,FUGA
sin partida Instr. Electricos y Comp. Control Arranque y Carga,SIN PARTIDA
Motor Sistema de Enfriamiento,FALLA FUNCIONAL
val. ll. combustible Motor Sistema de Combustible,BAJO NIVEL
sin cond. partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
falla sensor t° convertidor Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA CONEXION/AISLAMIENTO
neumatico 3 retorque Neumaticos y Aros Neumaticos,PM-NORMALIZAR
neumatico 5 pinchado Neumaticos y Aros Neumaticos,PINCHADO
neumatico 1 y 6 retorque Neumaticos y Aros Neumaticos,PM-NORMALIZAR
bajo voltaje Instr. Electricos y Comp. Control Arranque y Carga,BAJO VOLTAJE
filtro transmision tapados Tren de Potencia Transmision,FILTRO SATURADO
neumatico 1 chequeo Neumaticos y Aros Neumaticos,CHEQUEO
neumatico 4 pinchado Neumaticos y Aros Neumaticos,PINCHADO
falla sensor t° ac. eje trase Tren de Potencia Eje Palier y Diferencial,FALLA SENSOR TEMPERATURA
falla aire acondicionado Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
cheq. bailac Neumaticos y Aros Neumaticos,CHEQUEO
plumilla Estructura Cabina y Plataforma,FALLA COMPONENTE
a/c Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
fuga refrig Motor Sistema de Enfriamiento,FUGA
rell.ac.direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
sebado circuito combustible Motor Sistema de Combustible,BAJO NIVEL
vidrio puerta quebrado Estructura Cabina y Plataforma,ROTURA
rell nitrog Neumaticos y Aros Relleno,BAJA PRESION
escalera suelta Estructura Cabina y Plataforma,SOLTURA
fuga aceite diferencial Tren de Potencia Eje Palier y Diferencial,FUGA
sin arranque Instr. Electricos y Comp. Control Arranque y Carga,PM PASO 06
c/ lines hcas. Sistema Hidraulico Componentes Hidraulicos,FUGA
cheq. pos-1 Neumaticos y Aros Neumaticos,DESGASTE
se detiene motor diesel Motor Sistema de Combustible,BAJA PRESION
falla plumillas Estructura Cabina y Plataforma,FALLA FUNCIONAL
fuga aceite direccion Sistema Direccion y Frenos Sistema Direccion,FUGA
rell. direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
apoyo aire partida motor Sistema Neumatico Sistema Neumatico,BAJA PRESION
presion bba freno alto Sistema Direccion y Frenos Sistema Frenos,FALLA SOLENOIDE
voltaje bomba freno Sistema Direccion y Frenos Sistema Frenos,FALLA SOLENOIDE
detuvo diesel Motor Sistema de Enfriamiento,BAJO NIVEL
cheq diesel Motor Sistema de Combustible,SOLTURA
relleno direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
ell. direccion Sistema Direccion y Frenos Sistema Direccion,BAJO NIVEL
relleno hidraulico Sistema Hidraulico Componentes Hidraulicos,BAJO NIVEL
puerta trabada Estructura Cabina y Plataforma,FALLA COMPONENTE
falla iny 12-14 Motor Sistema de Combustible,FALLA FUNCIONAL
sin partida baja p° comb. Motor Sistema de Combustible,BAJO NIVEL
aacc Neumaticos y Aros Neumaticos,FALLA FUNCIONAL
smartcap / larrin y salas Innovaciones Tecnologicas Innovaciones Tecnologicas,SMARTCAP
comando bomba freno alto Sistema Hidraulico Sistema Levante,SULFATACION
aire partida Motor Sistema Partida Electrico,FALLA CONEXION/AISLAMIENTO
falla motor Motor Sistema de Combustible,SIN PARTIDA
aire aconducionado Aire Acondicionado Aire Acondicionado,FALLA FUNCIONAL
sin partida Motor Sistema de Combustible,SIN PARTIDA
fuga trasmision Tren de Potencia Transmision,ROTURA
fuga de transm. Mantencion Programada PM,FUGA
espejo izq. quebrado Estructura Cabina y Plataforma,ROTURA
sin luces trocha Instr. Electricos y Comp. Control Luces,FALLA FOCOS
rell. pos- 1 y corte pos-2 Neumaticos y Aros Neumaticos,BAJA PRESION
potencia Sistema Neumatico Sistema Neumatico,FALLA SENSOR DE PRESION
corte pos 2 cheq bailac Neumaticos y Aros Neumaticos,CORTE
fuga combust linea estanque Motor Sistema de Combustible,FUGA
golpe trasmision Tren de Potencia Transmision,FALLA COMPONENTE
ciclo bomba freno escesivo Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
cambio oring pos-2 Neumaticos y Aros Neumaticos,PM-NORMALIZAR
sin aire partida motor Sistema Neumatico Sistema Neumatico,BAJA PRESION
corte en pos-2 Neumaticos y Aros Neumaticos,CORTE
fuga ac.hidraulico Sistema Hidraulico Componentes Hidraulicos,FUGA
bateria Instr. Electricos y Comp. Control Arranque y Carga,SIN PARTIDA
pm Instr. Electricos y Comp. Control Arranque y Carga,PM PASO 07
prob levante Sistema Hidraulico Sistema Levante,BAJO NIVEL
relleno hyd Sistema Hidraulico Sistema Levante,BAJO NIVEL
aire partida Sistema Auxiliar Sistema Neumatico,SIN PARTIDA
sin cond. partida motor Sistema Neumatico Sistema Neumatico,SIN PARTIDA
sin radio comunic corte elect Comunicaciones Comunicaciones,CORTO CIRCUITO
baja presion freno Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
temp convertidor Tren de Potencia Transmision,ALTO NIVEL
cheq pos 2 bailac Neumaticos y Aros Neumaticos,CHEQUEO
sin bateria Instr. Electricos y Comp. Control Arranque y Carga,BAJO VOLTAJE
cheq.neumaticos Neumaticos y Aros Espera Atencion Neumaticos,CHEQUEO
cheq. pos-2 cortes Neumaticos y Aros Neumaticos,CHEQUEO
rell.ac.motor Motor Sistema de Lubricacion,BAJO NIVEL
corte pos 3 bailac Neumaticos y Aros Neumaticos,CORTE
sin cond. partida Instr. Electricos y Comp. Control Arranque y Carga,SIN PARTIDA
sin luces trasera Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA CONEXION/AISLAMIENTO
apoyo aire partida motor dies Sistema Neumatico Sistema Neumatico,BAJA PRESION
ciclo bomba freno alto Sistema Direccion y Frenos Sistema Frenos,FUGA
temp. ac. transmision Tren de Potencia Transmision,FALLA SENSOR TEMPERATURA
fuga aceite hyd Sistema Hidraulico Componentes Hidraulicos,FUGA
impacto estanque combustible Motor Sistema de Combustible,ACC-IMPACTADO
relleno nitrogeno Neumaticos y Aros Neumaticos,BAJA PRESION
sin cond partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
cambio pto Sistema Hidraulico Componentes Hidraulicos,DESGASTE
temp trasmision Tren de Potencia Transmision,ALTA TEMPERATURA
pinch. pos 6 Neumaticos y Aros Neumaticos,PINCHADO
alta t° frenos Sistema Direccion y Frenos Sistema Frenos,DESCARGADO
alta temp freno Sistema Direccion y Frenos Sistema Frenos,ALTA TEMPERATURA
rep luces retroceso Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA BREAKER
prob radio comunic Comunicaciones Comunicaciones,FALLA DE COMUNICACION
corte luces +radio comunicaci Instr. Electricos y Comp. Control Instrumentos Cables y Luces,CORTO CIRCUITO
cambio de link Estructura Cabina y Plataforma,FALLA ESTRUCTURAL
falla levante tolva Sistema Hidraulico Componentes Hidraulicos,FUGA
ciclo bomba freno excesivo Sistema Direccion y Frenos Sistema Frenos,BAJA PRESION
unidad frenada Sistema Direccion y Frenos Sistema Frenos,BAJA POTENCIA
carga suspension Mantencion Programada PM,FUGA
fuga de combustible Motor Sistema de Enfriamiento,FUGA
sin cond de partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
motor detenido Motor Modulo Electrico y Control,FALLA FUNCIONAL
pinch. pos 1 Neumaticos y Aros Neumaticos,PINCHADO
alta temp.de ac. convertidor Tren de Potencia Transmision,FALLA SENSOR TEMPERATURA
corte luces traseras Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA SWITCH
sin partida-volt. sistema Instr. Electricos y Comp. Control Arranque y Carga,BAJO VOLTAJE
pr. marchas Tren de Potencia Transmision,SIN MARCHAS
falla vidrio conductor Estructura Cabina y Plataforma,TRABADO
rep.modular Innovaciones Tecnologicas Innovaciones Tecnologicas,MODULAR
baja potencia cod inyector 16 Motor Modulo Electrico y Control,CONTAMINADO
fuga aceite motor Motor Sistema de Lubricacion,FUGA
sin energia Instr. Electricos y Comp. Control Arranque y Carga,SIN PARTIDA
rep cinturon seguridad Estructura Cabina y Plataforma,FALLA CINTURON DE SEGURIDAD
rp.luz decabina Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA ELECTRICA
fuga refrigerante Motor Sistema de Enfriamiento,FUGA
c/mando final Tren de Potencia Mandos Finales,DESGASTE
sin condicion de partida Sistema Neumatico Sistema Neumatico,FUGA
sin aire para la partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
fuga aire partida Sistema Neumatico Sistema Neumatico,FUGA
falla electrica Instr. Electricos y Comp. Control Arranque y Carga,CORTO CIRCUITO
fala selectora de marchas Estructura Cabina y Plataforma,FALLA SELECTOR MARCHA
falla de palanca de cambio Estructura Cabina y Plataforma,FALLA SELECTOR MARCHA
corte luces trochas Instr. Electricos y Comp. Control Instrumentos Cables y Luces,FALLA TROCHA
protub.pos 3 bailc Neumaticos y Aros Neumaticos,DESGASTE
calibracion pesmetro Instr. Electricos y Comp. Control Pesometro,DESCALIBRADO
veificacion torque Neumaticos y Aros Neumaticos,CHEQUEO
modular Innovaciones Tecnologicas Innovaciones Tecnologicas,MODULAR
rell. hco. Sistema Hidraulico Componentes Hidraulicos,BAJO NIVEL
sin potencia Motor Sistema de Admision y Escape,BAJA PRESION
alta temp conv Tren de Potencia Convertidor de Torque,ALTA TEMPERATURA
aire para partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
alta temperatura convertidor Tren de Potencia Convertidor de Torque,ALTA TEMPERATURA
ecas Innovaciones Tecnologicas Innovaciones Tecnologicas,PM-NORMALIZAR
backlog sist. direccion Sistema Direccion y Frenos Sistema Direccion,SMARTCAP
falla electrica tec.tres60 Innovaciones Tecnologicas Innovaciones Tecnologicas,SMARTCAP
sin airee para la partida Sistema Neumatico Sistema Neumatico,SIN PARTIDA
perdida de potencia Motor Sistema de Admision y Escape,FALLA ELECTRICA
baja potencia Motor Sistema de Admision y Escape,FALLA ELECTRICA
baja potencia motor Motor Sistema de Admision y Escape,FALLA COMPONENTE
