text,label
NEUMATICO 4-6 PAREO Neumaticos y Aros Neumaticos,MPV
ALTA TEMP REFRIGERANT Motor Sistema de Enfriamiento,MCM
ALTAS TEMP. REFRIG CO Motor Sistema de Enfriamiento,MCM
 Motor Sistema de Enfriamiento,MCM
ALTA TEMP REFRIG. Motor Sistema de Enfriamiento,MCM
alta temp. convertido Tren de Potencia Convertidor de Torque ,MCM
QUEBRO ESPEJO IZQUIERDO Estructura Cabina y Plataforma,MCM
SOLTO PROTECCIN DE CARTER Estructura Estructura y Chasis,MCM
PM 36D + BACKLOGS Mantencion Programada PM,MP
ALTA TEMPERATURA DIRECCION Sistema Direccion y Frenos Sistema Direccion,MCM
ALTA TEMPERATURA REFRIGERANTE Motor Sistema de Enfriamiento,MCM
ALTA TEMPERATURA DIRECCION Motor Sistema de Enfriamiento,MCM
PROBL PUERTA Estructura Cabina y Plataforma,MCM
TEMP MOTOR Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
MULT ALARMAS Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
 Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
TEMP CONVERTIDOR Tren de Potencia Convertidor de Torque,MCM
 Tren de Potencia Convertidor de Torque,MCM
SELLADO CABINA Estructura Cabina y Plataforma,MCM
PROBLE LEVANTE Sistema Hidraulico Sistema Levante,MCM
REPAR PALANC LEVANTE Sistema Hidraulico Sistema Levante,MCM
PROBL LEVANTE TOLVA Sistema Hidraulico Sistema Levante,MCM
REAPRETE ESP. IZQ. Estructura Cabina y Plataforma,MCM
PM Mantencion Programada PM,MP
mc motor Motor Sistema de Admision y Escape ,MCM
INPREVISTO Motor Sistema de Admision y Escape,MCM
SIN PARTIDA Sistema Neumatico Sistema Neumatico,MCM
APOYO AIRE PARTIDA Sistema Neumatico Sistema Neumatico,MCM
REPAR TK COMBUST Motor Sistema de Combustible,MCM
PROBL. MARCHAS Tren de Potencia Transmision,MCE
PROBL ELECTRICO ,MCE
PROBL TRANS Tren de Potencia Transmision,MCE
pm 18d+backlog ,MP
pm 18d+backlog Mantencion Programada PM ,MP
ESPEJO RETROVISOR SUELTO Estructura Cabina y Plataforma,MCM
NEUMATICO 1-2 ROTACION Neumaticos y Aros Neumaticos,MPV
pinchado pos 3 Neumaticos y Aros Neumaticos ,MCV
proteccion de motor Estructura Estructura y Chasis ,MCM
cambio pos-4 Neumaticos y Aros Neumaticos ,MPV
 Neumaticos y Aros Neumaticos ,MPV
regulacion esp. izq. Estructura Cabina y Plataforma ,MCM
pm Mantencion Programada PM ,MP
 Mantencion Programada PM ,MP
sin partida Instr. Electricos y Comp. Control Arranque y Carga ,MCM
bba. freno Sistema Direccion y Frenos Sistema Frenos ,MCM
codigo de bb.freno Sistema Direccion y Frenos Sistema Frenos ,MCM
reposicion extintor Sistema Contra Incendios Sistema Contra Incendios ,MCM
cheq. neumaticos Neumaticos y Aros Neumaticos ,MCV
sin partida ,MCM
pm 18d + backlog Mantencion Programada PM ,MP
se detenie motor dies ,MCM
baja pres.lub.ac.dife Tren de Potencia Eje Palier y Diferencial ,MCM
 Tren de Potencia Eje Palier y Diferencial ,MCM
relleno aceite direccion Sistema Direccion y Frenos Sistema Direccion ,MCM
rell ac direccion Sistema Direccion y Frenos Sistema Direccion ,MCM
rell.ac direccion Sistema Direccion y Frenos Sistema Direccion ,MCM
relleno aceite transmision Tren de Potencia Transmision ,MCM
fuga de diferencial Tren de Potencia Eje Palier y Diferencial ,MCM
fuga de diferencial ,MCM
palanca cambios suelta Instr. Electricos y Comp. Control Sistema de Control de Movimiento,MCM
solto manga del turbo Motor Sistema de Admision y Escape,MCM
aire para la partida Motor Sistema Partida Electrico,MCM
no entra combustible Motor Sistema de Combustible,MCM
no carga combustible Motor Sistema de Combustible,MCM
sist. voltaje bajo Instr. Electricos y Comp. Control Arranque y Carga,MCM
rep. aire acondicionado Aire Acondicionado Aire Acondicionado,MCM
rep luz trocha Instr. Electricos y Comp. Control Luces,MCE
falla sistema a/c Aire Acondicionado Aire Acondicionado,MCM
*temperatura pos-1 Neumaticos y Aros Neumaticos,MCV
#neumatico pos 1 chequeo Neumaticos y Aros Neumaticos,MCV
rell.ac.transmision Tren de Potencia Transmision,MCM
cambio plumillas Estructura Cabina y Plataforma,MCM
fuga hid conv Tren de Potencia Convertidor de Torque,MCM
fuga ac. convertidor Tren de Potencia Convertidor de Torque,MCM
bajo nivel conv Tren de Potencia Convertidor de Torque,MCM
Tren de Potencia Convertidor de Torque,MCM
cambio enfr. transmision Tren de Potencia Convertidor de Torque,MCM
falla sensor t° de t.c. Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
moncon Motor Sistema de Lubricacion,MCM
p.m Mantencion Programada PM,MPO
pinchado pos. 1 Neumaticos y Aros Neumaticos,MCV
sid cond. partida Sistema Neumatico Sistema Neumatico,MCM
programa neumaticos Neumaticos y Aros Neumaticos,MPV
arc Sistema Direccion y Frenos Sistema Frenos,MCM
alta t° de frenos Sistema Direccion y Frenos Sistema Frenos,MCM
cambio filtro freno Sistema Direccion y Frenos Sistema Frenos,MCM
baja p° bba freno Sistema Direccion y Frenos Sistema Frenos,MCM
Sistema Direccion y Frenos Sistema Frenos,MCM
rep a/c Aire Acondicionado Aire Acondicionado,MCM
Aire Acondicionado Aire Acondicionado,MCM
pm 600h Mantencion Programada PM,MP
problema marchas Tren de Potencia Transmision,MCM
cheq neumaticos Neumaticos y Aros Neumaticos,MCV
cheq. neumaticos Neumaticos y Aros Neumaticos,MCV
alta temp frenos Sistema Direccion y Frenos Sistema Frenos,MCM
relleno aceite transmision Tren de Potencia Transmision,MCM
baja presion de freno Sistema Direccion y Frenos Sistema Frenos,MCM
relleno aceite direccion Sistema Direccion y Frenos Sistema Direccion,MCM
alta t° freno Sistema Direccion y Frenos Sistema Frenos,MCM
rell direccion Sistema Direccion y Frenos Sistema Direccion,MCM
no cierra puerta Estructura Cabina y Plataforma,MCM
cheq p 4 Neumaticos y Aros Neumaticos,MCV
relleno transmision Tren de Potencia Transmision,MCM
aire acondicionado Aire Acondicionado Aire Acondicionado,MCM
relleno aceite transmision Tren de Potencia Convertidor de Torque,MCM
cambio enfriador ac. t.c. Tren de Potencia Convertidor de Torque,MCM
probl alarmas Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
rell refrig Motor Sistema de Enfriamiento,MCM
rotacion neumaticos Neumaticos y Aros Neumaticos,MPV
fuga de refrigerante Motor Sistema de Enfriamiento,MCM
pm cambio ac. transmision Mantencion Programada PM,MPO
Mantencion Programada PM,MPV
mantencion neumatico Neumaticos y Aros Neumaticos,MPV
retorque Neumaticos y Aros Neumaticos,MCV
alta temp escape Motor Sistema de Admision y Escape,MCE
Motor Sistema de Admision y Escape,MCE
fuga petroleo x tk Estructura Estructura y Chasis,MCM
fuga petroleo Estructura Estructura y Chasis,MCM
temp. frenos Sistema Direccion y Frenos Sistema Frenos,MCM
Motor Sistema de Combustible,MCM
baj presion combustible Motor Sistema de Combustible,MCM
corte pos 5 Neumaticos y Aros Neumaticos,MCV
fuga combustible Motor Sistema de Combustible,MCM
baja presion acum. freno Sistema Direccion y Frenos Sistema Frenos,MCE
rell.ac.transmision Tren de Potencia Convertidor de Torque,MCE
reponer numeros traseros Estructura Estructura y Chasis,MCM
rep.aire acondicionado Aire Acondicionado Aire Acondicionado,MPO
retorque neumaticos Neumaticos y Aros Neumaticos,MCV
alta t° de freno Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
relleno de refrigerante Motor Sistema de Enfriamiento,MCM
rell conv Tren de Potencia Convertidor de Torque,MCM
rell convertidor Tren de Potencia Convertidor de Torque,MCM
fuga hidraulica Sistema Hidraulico Componentes Hidraulicos,MCM
pinch. pos 5 Neumaticos y Aros Neumaticos,MCV
neumatico pos 3 pinchado Neumaticos y Aros Neumaticos,MCV
fuga por v/v chassis Sistema Hidraulico Componentes Hidraulicos,MCM
aacc Aire Acondicionado Aire Acondicionado,MCM
relleno de hd Sistema Hidraulico Componentes Hidraulicos,MCM
fuga ac. hidraulico Sistema Hidraulico Componentes Hidraulicos,MCM
rell.refrigerante Motor Sistema de Enfriamiento,MCM
temp freno Sistema Direccion y Frenos Sistema Frenos,MCM
smartcap Innovaciones Tecnologicas Innovaciones Tecnologicas,MCE
aire partida Sistema Neumatico Sistema Neumatico,MCM
sin bocina Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
m. aceite moncon Motor Sistema de Lubricacion,MPO
toma muestras aceite motor Mantencion Programada PM,MPO
relleno refrigerante motor Motor Sistema de Enfriamiento,MCM
neumatico 3 pinchado Neumaticos y Aros Neumaticos,MCV
relleno refrigerante Motor Sistema de Enfriamiento,MCM
retorque pos 3 neum Neumaticos y Aros Neumaticos,MPV
fuga hca.,MCM
reg espejo izq Estructura Cabina y Plataforma,MCM
cheq. pos-2 Neumaticos y Aros Neumaticos,MCV
baja potencia Motor Sistema de Combustible,MCM
detuvo diesel Motor Sistema de Combustible,MCM
fuga hid Sistema Hidraulico Componentes Hidraulicos,MCM
baja presion de riel combusti Motor Sistema de Combustible,MCM
rell hid Sistema Hidraulico Sistema Levante,MCM
rep. aire acondicionaod Aire Acondicionado Aire Acondicionado,MCM
falla cinturon de seguridad Estructura Cabina y Plataforma,MCM
manguera soplado Sistema Neumatico Sistema Neumatico,MCM
neumatico 3 chequeo Neumaticos y Aros Neumaticos,MCV
neumatico pos 3 cambio Neumaticos y Aros Neumaticos,MCV
neumatico 1 retorque Neumaticos y Aros Neumaticos,MCV
sin partida motor Sistema Neumatico Sistema Neumatico,MCM
cheq bocina Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCE
aire para partida motor Sistema Neumatico Sistema Neumatico,MCM
sallado cabina Aire Acondicionado Aire Acondicionado,MCM
aire partida motor Sistema Neumatico Sistema Neumatico,MCM
calibracion transm Tren de Potencia Transmision,MPO
pincho p3 Neumaticos y Aros Neumaticos,MCV
aire para la partida Sistema Auxiliar Sistema Neumatico,MCM
falla correa alternador Instr. Electricos y Comp. Control Arranque y Carga,MCE
neumatico 1 rotacion Neumaticos y Aros Neumaticos,MPV
bomba freno no responde Sistema Direccion y Frenos Sistema Frenos,MCM
instalacion botapiedra Mantencion Programada PM,MPO
ch. neumaticos Neumaticos y Aros Neumaticos,MCV
neumatico 5 cambio Neumaticos y Aros Neumaticos,MCV
reapriete pos 3 Neumaticos y Aros Neumaticos,MCV
plataforma fisurada Estructura Cabina y Plataforma,MCM
traspaso hidraulico Tren de Potencia Eje Palier y Diferencial,MCM
fuga hca. Sistema Hidraulico Componentes Hidraulicos,MCM
baja pres. ac. eje trasero Tren de Potencia Eje Palier y Diferencial,MCM
Sistema Hidraulico Componentes Hidraulicos,MCM
postura de cadenas Neumaticos y Aros Neumaticos,MPV
postura cadenas Neumaticos y Aros Neumaticos,MPV
desm botapiedras Tolva Tolva,MCM
neumatico 4-5 desmontaje cade Neumaticos y Aros Neumaticos,MCR
neumatico 4 retiro cadenas Neumaticos y Aros Neumaticos,MCV
neumatico 4-5 retiro cadenas Neumaticos y Aros Neumaticos,MCV
bailac cadena Neumaticos y Aros Neumaticos,MCV
cheq.neumaticos Neumaticos y Aros Neumaticos,MCV
aire para la partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
aire para la partida Motor Sistema de Enfriamiento,MCM
fuga hid direccion Sistema Direccion y Frenos Sistema Direccion,MCM
alarma bajo niv conv Instr. Electricos y Comp. Control Dispositivos Proteccion y Alarmas,MCM
aire acondic] Aire Acondicionado Aire Acondicionado,MCM
relleno aceite Tren de Potencia Transmision,MCE
toma muestra Motor Sistema de Lubricacion,MCM
cambio filtro cabina Aire Acondicionado Aire Acondicionado,MCM
rep. sellado cabina Aire Acondicionado Aire Acondicionado,MCM
calefacc Aire Acondicionado Aire Acondicionado,MCM
prog neumaticos Neumaticos y Aros Neumaticos,MPV
fuga combustible por deposito Motor Sistema de Combustible,MCM
relleno nitrogeno Neumaticos y Aros Relleno,MCV
sin aire partida Sistema Neumatico Sistema Neumatico,MCM
Neumaticos y Aros Relleno,MCV
parkeo aoplicado Sistema Direccion y Frenos Sistema Frenos,MCE
rep. switch traba transm. Instr. Electricos y Comp. Control Sistema de Control de Movimiento,MCE
rell.ac.hidraulico Sistema Hidraulico Sistema Levante,MCM
sin aire acondicionado Aire Acondicionado Aire Acondicionado,MCM
instalar manguera de soplado Sistema Neumatico Sistema Neumatico,MCM
rep barandas Estructura Estructura y Chasis,MCM
fuga direccion Sistema Direccion y Frenos Sistema Direccion,MCM
sin partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
Motor Sistema de Enfriamiento,MCM
val. ll. combustible Motor Sistema de Combustible,MCM
sin cond. partida Sistema Neumatico Sistema Neumatico,MCM
falla sensor t° convertidor Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
neumatico 3 retorque Neumaticos y Aros Neumaticos,MPV
neumatico 5 pinchado Neumaticos y Aros Neumaticos,MCV
neumatico 1 y 6 retorque Neumaticos y Aros Neumaticos,MPV
bajo voltaje Instr. Electricos y Comp. Control Arranque y Carga,MCE
filtro transmision tapados Tren de Potencia Transmision,MCM
neumatico 1 chequeo Neumaticos y Aros Neumaticos,MCV
neumatico 4 pinchado Neumaticos y Aros Neumaticos,MCV
falla sensor t° ac. eje trase Tren de Potencia Eje Palier y Diferencial,MCE
falla aire acondicionado Aire Acondicionado Aire Acondicionado,MCM
cheq. bailac Neumaticos y Aros Neumaticos,MCV
plumilla Estructura Cabina y Plataforma,MCM
a/c Aire Acondicionado Aire Acondicionado,MCM
fuga refrig Motor Sistema de Enfriamiento,MCM
rell.ac.direccion Sistema Direccion y Frenos Sistema Direccion,MCM
sebado circuito combustible Motor Sistema de Combustible,MCM
vidrio puerta quebrado Estructura Cabina y Plataforma,MCM
rell nitrog Neumaticos y Aros Relleno,MCV
escalera suelta Estructura Cabina y Plataforma,MCM
fuga aceite diferencial Tren de Potencia Eje Palier y Diferencial,MCM
sin arranque Instr. Electricos y Comp. Control Arranque y Carga,MP
c/ lines hcas. Sistema Hidraulico Componentes Hidraulicos,MCM
cheq. pos-1 Neumaticos y Aros Neumaticos,MCV
se detiene motor diesel Motor Sistema de Combustible,MCM
falla plumillas Estructura Cabina y Plataforma,MCM
fuga aceite direccion Sistema Direccion y Frenos Sistema Direccion,MCM
rell. direccion Sistema Direccion y Frenos Sistema Direccion,MCM
apoyo aire partida motor Sistema Neumatico Sistema Neumatico,MCM
presion bba freno alto Sistema Direccion y Frenos Sistema Frenos,MCE
voltaje bomba freno Sistema Direccion y Frenos Sistema Frenos,MCE
detuvo diesel Motor Sistema de Enfriamiento,MCM
cheq diesel Motor Sistema de Combustible,MCM
relleno direccion Sistema Direccion y Frenos Sistema Direccion,MCM
ell. direccion Sistema Direccion y Frenos Sistema Direccion,MCM
relleno hidraulico Sistema Hidraulico Componentes Hidraulicos,MCM
puerta trabada Estructura Cabina y Plataforma,MCM
falla iny 12-14 Motor Sistema de Combustible,MCM
sin partida baja p° comb. Motor Sistema de Combustible,MCM
aacc Neumaticos y Aros Neumaticos,MCM
smartcap / larrin y salas Innovaciones Tecnologicas Innovaciones Tecnologicas,MCE
comando bomba freno alto Sistema Hidraulico Sistema Levante,MCE
aire partida Motor Sistema Partida Electrico,MCE
falla motor Motor Sistema de Combustible,MCM
aire aconducionado Aire Acondicionado Aire Acondicionado,MCM
sin partida Motor Sistema de Combustible,MCM
fuga trasmision Tren de Potencia Transmision,MCM
fuga de transm. Mantencion Programada PM,MCM
espejo izq. quebrado Estructura Cabina y Plataforma,MCM
sin luces trocha Instr. Electricos y Comp. Control Luces,MCE
rell. pos- 1 y corte pos-2 Neumaticos y Aros Neumaticos,MCV
potencia Sistema Neumatico Sistema Neumatico,MCE
corte pos 2 cheq bailac Neumaticos y Aros Neumaticos,MCV
fuga combust linea estanque Motor Sistema de Combustible,MCM
golpe trasmision Tren de Potencia Transmision,MCM
ciclo bomba freno escesivo Sistema Direccion y Frenos Sistema Frenos,MCM
cambio oring pos-2 Neumaticos y Aros Neumaticos,MPV
sin aire partida motor Sistema Neumatico Sistema Neumatico,MCM
corte en pos-2 Neumaticos y Aros Neumaticos,MCV
fuga ac.hidraulico Sistema Hidraulico Componentes Hidraulicos,MCM
bateria Instr. Electricos y Comp. Control Arranque y Carga,MCM
pm Instr. Electricos y Comp. Control Arranque y Carga,MP
prob levante Sistema Hidraulico Sistema Levante,MCM
relleno hyd Sistema Hidraulico Sistema Levante,MCM
aire partida Sistema Auxiliar Sistema Neumatico,MCM
sin cond. partida motor Sistema Neumatico Sistema Neumatico,MCM
sin radio comunic corte elect Comunicaciones Comunicaciones,MCE
baja presion freno Sistema Direccion y Frenos Sistema Frenos,MCM
temp convertidor Tren de Potencia Transmision,MCM
cheq pos 2 bailac Neumaticos y Aros Neumaticos,MCV
sin bateria Instr. Electricos y Comp. Control Arranque y Carga,MCE
cheq.neumaticos Neumaticos y Aros Espera Atencion Neumaticos,MCV
cheq. pos-2 cortes Neumaticos y Aros Neumaticos,MCV
rell.ac.motor Motor Sistema de Lubricacion,MCM
corte pos 3 bailac Neumaticos y Aros Neumaticos,MCV
sin cond. partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
sin luces trasera Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
apoyo aire partida motor dies Sistema Neumatico Sistema Neumatico,MCM
ciclo bomba freno alto Sistema Direccion y Frenos Sistema Frenos,MCM
temp. ac. transmision Tren de Potencia Transmision,MCE
fuga aceite hyd Sistema Hidraulico Componentes Hidraulicos,MCM
impacto estanque combustible Motor Sistema de Combustible,MCA
relleno nitrogeno Neumaticos y Aros Neumaticos,MCV
sin cond partida Sistema Neumatico Sistema Neumatico,MCM
cambio pto Sistema Hidraulico Componentes Hidraulicos,MCM
temp trasmision Tren de Potencia Transmision,MCM
pinch. pos 6 Neumaticos y Aros Neumaticos,MCV
alta t° frenos Sistema Direccion y Frenos Sistema Frenos,MCM
alta temp freno Sistema Direccion y Frenos Sistema Frenos,MCM
rep luces retroceso Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
prob radio comunic Comunicaciones Comunicaciones,MCE
corte luces +radio comunicaci Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
cambio de link Estructura Cabina y Plataforma,MCM
falla levante tolva Sistema Hidraulico Componentes Hidraulicos,MCM
ciclo bomba freno excesivo Sistema Direccion y Frenos Sistema Frenos,MCM
unidad frenada Sistema Direccion y Frenos Sistema Frenos,MCM
carga suspension Mantencion Programada PM,MCM
fuga de combustible Motor Sistema de Enfriamiento,MCM
sin cond de partida Sistema Neumatico Sistema Neumatico,MCM
motor detenido Motor Modulo Electrico y Control,MCM
pinch. pos 1 Neumaticos y Aros Neumaticos,MCV
alta temp.de ac. convertidor Tren de Potencia Transmision,MCE
corte luces traseras Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
sin partida-volt. sistema Instr. Electricos y Comp. Control Arranque y Carga,MCE
pr. marchas Tren de Potencia Transmision,MCM
falla vidrio conductor Estructura Cabina y Plataforma,MCM
rep.modular Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
baja potencia cod inyector 16 Motor Modulo Electrico y Control,MCE
fuga aceite motor Motor Sistema de Lubricacion,MCM
sin energia Instr. Electricos y Comp. Control Arranque y Carga,MCM
rep cinturon seguridad Estructura Cabina y Plataforma,MCM
rp.luz decabina Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
fuga refrigerante Motor Sistema de Enfriamiento,MCM
c/mando final Tren de Potencia Mandos Finales,MCM
sin condicion de partida Sistema Neumatico Sistema Neumatico,MCM
sin aire para la partida Sistema Neumatico Sistema Neumatico,MCM
fuga aire partida Sistema Neumatico Sistema Neumatico,MCM
falla electrica Instr. Electricos y Comp. Control Arranque y Carga,MCE
fala selectora de marchas Estructura Cabina y Plataforma,MCM
falla de palanca de cambio Estructura Cabina y Plataforma,MCM
corte luces trochas Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
protub.pos 3 bailc Neumaticos y Aros Neumaticos,MCV
calibracion pesmetro Instr. Electricos y Comp. Control Pesometro,MCE
veificacion torque Neumaticos y Aros Neumaticos,MCV
modular Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
rell. hco. Sistema Hidraulico Componentes Hidraulicos,MCM
sin potencia Motor Sistema de Admision y Escape,MCM
alta temp conv Tren de Potencia Convertidor de Torque,MCM
aire para partida Sistema Neumatico Sistema Neumatico,MCM
alta temperatura convertidor Tren de Potencia Convertidor de Torque,MCM
ecas Innovaciones Tecnologicas Innovaciones Tecnologicas,MPO
backlog sist. direccion Sistema Direccion y Frenos Sistema Direccion,MCI
falla electrica tec.tres60 Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
sin airee para la partida Sistema Neumatico Sistema Neumatico,MCM
perdida de potencia Motor Sistema de Admision y Escape,MCE
baja potencia Motor Sistema de Admision y Escape,MCE
baja potencia motor Motor Sistema de Admision y Escape,MCM
c/radiador Motor Sistema de Enfriamiento,MCM
tempertura de trasmision Tren de Potencia Transmision,MCM
rep cint seg Estructura Cabina y Plataforma,MCM
sitema de voltaje bajo Instr. Electricos y Comp. Control Arranque y Carga,MCE
rell refrig Motor Unidad de Fuerza,MCM
sellado de cabina Aire Acondicionado Aire Acondicionado,MCM
pos/3 corte b. ext. Neumaticos y Aros Neumaticos,MCV
codigo fremos Sistema Direccion y Frenos Sistema Frenos,MCE
cloqueo de control trasmision Tren de Potencia Transmision,MCM
sin arranque. Instr. Electricos y Comp. Control Arranque y Carga,MCM
pm. Mantencion Programada PM,MP
smartcap. Mantencion Programada PM,MPO
revision suspensiones. Sistema Suspension Suspensiones Traseras,MCM
evaluacion baranda plataforma Estructura Cabina y Plataforma,MCM
suspesiones traseras golpean Sistema Suspension Suspensiones Traseras,MCM
verificacion torque pos.6 Neumaticos y Aros Neumaticos,MCV
smartcap Sistemas de Seguridad Sistema de Seguridad,MCI
aire partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
fuga masa pos.1 Sistema Hidraulico Componentes Hidraulicos,MCM
relleno pos 1 Neumaticos y Aros Neumaticos,MCV
cambio susp delantera Sistema Suspension Suspensiones Delanteras,MCM
Instr. Electricos y Comp. Control Arranque y Carga,MCE
sin arranque Sistema Neumatico Sistema Neumatico,MCM
bases plataforma sup. der.que Estructura Estructura y Chasis,MCM
smartcap Comunicaciones Comunicaciones,MCI
radio comunicacion Comunicaciones Comunicaciones,MCI
bajo volt. sistema Instr. Electricos y Comp. Control Arranque y Carga,MCE
sin cond de partida Instr. Electricos y Comp. Control Arranque y Carga,MCE
presion acumulador freno secu Sistema Direccion y Frenos Sistema Frenos,MCE
sin condicion partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
fuga nitrog. pos/1 Neumaticos y Aros Neumaticos,MPV
condicion partida Instr. Electricos y Comp. Control Arranque y Carga,MCM
ruido direccion Innovaciones Tecnologicas Innovaciones Tecnologicas,MCM
falla alza vidrio izq Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCM
temp escape Motor Sistema de Admision y Escape,MCM
diferencial t~ entr. turbo Motor Sistema de Admision y Escape,MCM
apoyo bateria Instr. Electricos y Comp. Control Arranque y Carga,MCE
ch. fisura chasis Estructura Estructura y Chasis,MCM
rell. neumaticos Neumaticos y Aros Neumaticos,MCV
apoyo de ire partida Sistema Neumatico Sistema Neumatico,MCM
bajo volt sistema Instr. Electricos y Comp. Control Sistema de Control de Movimiento,MCM
fuga pos 3 bailac Neumaticos y Aros Neumaticos,MCV
fuga hca. pos.1 Sistema Suspension Suspensiones Delanteras,MCM
sistema volt bajo Instr. Electricos y Comp. Control Arranque y Carga,MCE
cambio de bateria Instr. Electricos y Comp. Control Arranque y Carga,MCE
baja potencia motor diesel Motor Sistema de Admision y Escape,MCM
baja potencia iny. error Motor Sistema de Combustible,MCE
inyrctor error Motor Sistema de Combustible,MCE
cod inyect 10/12 corriente so Motor Modulo Electrico y Control,MCM
aacc / vidrio abajo Estructura Cabina y Plataforma,MCM
gps Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
ecm chasis error Tren de Potencia Transmision,MCM
direccion dura Sistema Direccion y Frenos Sistema Direccion,MCM
smartcap g2 Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
revision pos.5 Neumaticos y Aros Neumaticos,MPV
pinchado pos/3 Neumaticos y Aros Neumaticos,MCV
ver. torque pos.1 Neumaticos y Aros Relleno,MCV
Sistema Neumatico Sistema Neumatico,MCM
motor detenido Motor Sistema de Lubricacion,MCM
problemas de marcha Tren de Potencia Transmision,MCE
sin aire para partida Sistema Neumatico Sistema Neumatico,MCM
neumatico 3-5 chequeo Neumaticos y Aros Neumaticos,MCV
aire para la partida Sistema Neumatico Sistema Neumatico,MCM
mant tecnologica Innovaciones Tecnologicas Innovaciones Tecnologicas,MCI
fuga de aire Motor Sistema Partida Electrico,MCM
apoyo de bateria Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
baja pres. pos 1 bailac Neumaticos y Aros Neumaticos,MCV
corte electrico luces Instr. Electricos y Comp. Control Instrumentos Cables y Luces,MCE
bajo voltaje bateria Instr. Electricos y Comp. Control Arranque y Carga,MCE
sin aire Sistema Neumatico Sistema Neumatico,MCE
apoyo de bateria partida Instr. Electricos y Comp. Control Arranque y Carga,MCE
traba motor activada Motor Sistema Partida Electrico,MCE
da;o equipo Instr. Electricos y Comp. Control Arranque y Carga,MCA
cheq. de neumaticos Neumaticos y Aros Neumaticos,MCV
rep. de aire acondicionado Aire Acondicionado Aire Acondicionado,MCM
